species;habitat;diet
sapajus_xanthosternos;Forest;Omnivore
semnopithecus_entellus;Others;Herbivore
simias_concolor;Forest;Herbivore
symphalangus_syndactylus;Forest;Herbivore
tarsius_dentatus;Forest;Omnivore
tarsius_lariang;Forest;Omnivore
tarsius_sangirensis;Others;Omnivore
tarsius_tarsier;Forest;Omnivore
tarsius_wallacei;Others;Omnivore
theropithecus_gelada;Others;Herbivore
trachypithecus_auratus;Forest;Herbivore
trachypithecus_cristatus;Forest;Herbivore
trachypithecus_delacouri;Forest;Herbivore
trachypithecus_francoisi;Forest;Herbivore
trachypithecus_geei;Forest;Herbivore
trachypithecus_germaini;Forest;Herbivore
trachypithecus_hatinhensis;Others;Herbivore
trachypithecus_obscurus;Forest;Herbivore
trachypithecus_phayrei;Others;Herbivore
trachypithecus_pileatus;Forest;Herbivore
trachypithecus_poliocephalus;Others;Herbivore
trachypithecus_shortridgei;Forest;Herbivore
varecia_rubra;Forest;Herbivore
